INFO 2024-08-30 17:54:24,020 autoreload Watching for file changes with StatReloader
DEBUG 2024-08-30 17:54:24,242 autoreload File C:\Users\yannb\pythonvirtualenv\testProjet\Lib\site-packages\django\utils\version.py first seen with mtime 1723813829.1597326
DEBUG 2024-08-30 17:54:24,242 autoreload File C:\Users\yannb\pythonvirtualenv\testProjet\Lib\site-packages\django\template\loaders\app_directories.py first seen with mtime 1723813829.1202207
DEBUG 2024-08-30 17:54:24,242 autoreload File C:\Users\yannb\pythonvirtualenv\testProjet\Lib\site-packages\django\views\generic\base.py first seen with mtime 1723813829.1757288
DEBUG 2024-08-30 17:54:24,243 autoreload File C:\Users\yannb\AppData\Local\Programs\Python\Python312\Lib\email\_policybase.py first seen with mtime 1717696452.0
DEBUG 2024-08-30 17:54:24,243 autoreload File C:\Users\yannb\pythonvirtualenv\testProjet\Lib\site-packages\django\contrib\messages\constants.py first seen with mtime 1723813828.3457253
DEBUG 2024-08-30 17:54:24,243 autoreload File C:\Users\yannb\pythonvirtualenv\testProjet\Lib\site-packages\django\core\checks\security\sessions.py first seen with mtime 1723813828.9262793
DEBUG 2024-08-30 17:54:24,243 autoreload File C:\Users\yannb\AppData\Local\Programs\Python\Python312\Lib\socketserver.py first seen with mtime 1717696452.0
DEBUG 2024-08-30 17:54:24,243 autoreload File C:\Users\yannb\pythonvirtualenv\testProjet\Lib\site-packages\django\core\management\commands\__init__.py first seen with mtime 1723813828.9472823
DEBUG 2024-08-30 17:54:24,244 autoreload File C:\Users\yannb\pythonvirtualenv\testProjet\Lib\site-packages\django\core\handlers\asgi.py first seen with mtime 1723813828.936277
DEBUG 2024-08-30 17:54:24,244 autoreload File C:\Users\yannb\pythonvirtualenv\testProjet\Lib\site-packages\django\db\models\sql\constants.py first seen with mtime 1723813829.0407884
DEBUG 2024-08-30 17:54:24,244 autoreload File C:\Users\yannb\pythonvirtualenv\testProjet\Lib\site-packages\django\contrib\contenttypes\models.py first seen with mtime 1723813827.7705646
DEBUG 2024-08-30 17:54:24,244 autoreload File C:\Users\yannb\AppData\Local\Programs\Python\Python312\Lib\encodings\aliases.py first seen with mtime 1717696452.0
DEBUG 2024-08-30 17:54:24,245 autoreload File C:\Users\yannb\AppData\Local\Programs\Python\Python312\Lib\asyncio\constants.py first seen with mtime 1717696452.0
DEBUG 2024-08-30 17:54:24,245 autoreload File C:\Users\yannb\pythonvirtualenv\testProjet\Lib\site-packages\django\db\backends\sqlite3\operations.py first seen with mtime 1723813829.00279
DEBUG 2024-08-30 17:54:24,245 autoreload File C:\Users\yannb\AppData\Local\Programs\Python\Python312\Lib\dataclasses.py first seen with mtime 1717696452.0
DEBUG 2024-08-30 17:54:24,245 autoreload File C:\Users\yannb\pythonvirtualenv\testProjet\Lib\site-packages\django\templatetags\i18n.py first seen with mtime 1723813829.126216
DEBUG 2024-08-30 17:54:24,246 autoreload File C:\Users\yannb\AppData\Local\Programs\Python\Python312\Lib\email\mime\message.py first seen with mtime 1717696452.0
